posx,posy,posz,turn,tick,
26.695333,1.2475,25.241488,572,1,
26.707623,1.2475,25.24796,573,1,
26.719912,1.2475,25.25443,574,1,
26.7322,1.2475,25.260904,575,1,
26.74449,1.2475,25.267376,576,1,
26.756779,1.2475,25.27385,577,1,
26.769068,1.2475,25.280321,578,1,
26.781357,1.2475,25.286793,579,1,
26.793646,1.2475,25.293266,580,1,
26.805935,1.2475,25.299738,581,1,
26.818224,1.2475,25.306211,582,1,
26.830513,1.2475,25.312683,583,1,
26.842802,1.2475,25.319157,584,1,
26.855091,1.2475,25.325628,585,1,
26.86738,1.2475,25.3321,586,1,
26.87967,1.2475,25.338573,587,1,
26.891958,1.2475,25.345045,588,1,
26.904247,1.2475,25.351519,589,1,
26.916536,1.2475,25.35799,590,1,
26.928825,1.2475,25.364464,591,1,
26.941114,1.2475,25.370935,592,1,
26.953403,1.2475,25.377407,593,1,
26.965693,1.2475,25.38388,594,1,
26.977982,1.2475,25.390352,595,1,
26.99027,1.2475,25.396826,596,1,
27.00256,1.2475,25.403297,597,1,
27.014849,1.2475,25.409771,598,1,
27.027138,1.2475,25.416243,599,1,
27.039427,1.2475,25.422716,600,1,
27.051716,1.2475,25.429188,601,1,
27.064005,1.2475,25.435661,602,1,
27.076294,1.2475,25.442133,603,1,
27.088583,1.2475,25.448606,604,1,
27.100872,1.2475,25.455078,605,1,
27.113161,1.2475,25.461552,606,1,
27.12545,1.2475,25.468023,607,1,
27.12545,1.2475,25.468023,608,1,
27.12545,1.2475,25.468023,609,1,
27.12545,1.2475,25.468023,610,1,
27.12545,1.2475,25.468023,611,1,
27.150375,1.2475,25.54754,612,1,
27.159515,1.2475,25.576696,613,1,
27.166162,1.2475,25.5979,614,1,
27.170317,1.2475,25.611153,615,1,
27.17447,1.2475,25.624407,616,1,
27.178625,1.2475,25.63766,617,1,
27.18278,1.2475,25.650911,618,1,
27.186934,1.2475,25.664164,619,1,
27.191088,1.2475,25.677418,620,1,
27.195242,1.2475,25.69067,621,1,
27.199396,1.2475,25.703922,622,1,
27.20355,1.2475,25.717175,623,1,
27.207705,1.2475,25.730429,624,1,
27.211859,1.2475,25.743681,625,1,
27.216013,1.2475,25.756933,626,1,
27.220167,1.2475,25.770185,627,1,
27.224321,1.2475,25.78344,628,1,
27.228476,1.2475,25.796692,629,1,
27.23263,1.2475,25.809944,630,1,
27.236784,1.2475,25.823196,631,1,
27.240938,1.2475,25.83645,632,1,
27.245092,1.2475,25.849703,633,1,
27.249247,1.2475,25.862955,634,1,
27.2534,1.2475,25.876207,635,1,
27.257555,1.2475,25.889462,636,1,
27.26171,1.2475,25.902714,637,1,
27.265863,1.2475,25.915966,638,1,
27.270018,1.2475,25.929218,639,1,
27.274172,1.2475,25.942472,640,1,
27.278326,1.2475,25.955725,641,1,
27.28248,1.2475,25.968977,642,1,
27.286634,1.2475,25.98223,643,1,
27.290789,1.2475,25.995481,644,1,
27.294943,1.2475,26.008736,645,1,
27.299097,1.2475,26.021988,646,1,
27.303251,1.2475,26.03524,647,1,
27.307405,1.2475,26.048492,648,1,
27.31156,1.2475,26.061747,649,1,
27.315714,1.2475,26.074999,650,1,
27.319868,1.2475,26.088251,651,1,
27.324022,1.2475,26.101503,652,1,
27.328176,1.2475,26.114758,653,1,
27.33233,1.2475,26.12801,654,1,
27.336485,1.2475,26.141262,655,1,
27.34064,1.2475,26.154514,656,1,
27.344793,1.2475,26.167767,657,1,
27.348948,1.2475,26.18102,658,1,
27.353102,1.2475,26.194273,659,1,
27.357256,1.2475,26.207525,660,1,
27.36141,1.2475,26.220778,661,1,
27.365564,1.2475,26.23403,662,1,
27.369719,1.2475,26.247284,663,1,
27.373873,1.2475,26.260536,664,1,
27.373873,1.2475,26.260536,665,1,
27.38178,1.2475,26.271954,666,1,
27.389688,1.2475,26.283371,667,1,
27.397596,1.2475,26.294786,668,1,
27.405504,1.2475,26.306204,669,1,
27.413412,1.2475,26.317621,670,1,
27.42132,1.2475,26.329039,671,1,
27.429228,1.2475,26.340456,672,1,
27.437136,1.2475,26.351873,673,1,
27.445044,1.2475,26.36329,674,1,
27.452951,1.2475,26.374708,675,1,
27.46086,1.2475,26.386126,676,1,
27.468767,1.2475,26.397541,677,1,
